seccion	gls_seccion	division	gls_division	clase	gls_clase
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1020	Elaboración y conservación de pescado, crustáceos y moluscos
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1030	Elaboración y conservación de frutas, legumbres y hortalizas
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1040	Elaboración de aceites y grasas de origen vegetal y animal
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1050	Elaboración de productos lácteos
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1061	Elaboración de productos de molinería
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1062	Elaboración de almidones y productos derivados del almidón
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1071	Elaboración de productos de panadería
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1072	Elaboración de azúcar
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1073	Elaboración de cacao, chocolate y de productos de confitería
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1074	Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1075	Elaboración de comidas y platos preparados
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1079	Elaboración de otros productos alimenticios n.c.p.
C	Industrias manufactureras	10	ELABORACIÓN DE PRODUCTOS ALIMENTICIOS.	1080	Elaboración de piensos preparados para animales
C	Industrias manufactureras	11	ELABORACIÓN DE BEBIDAS.	1101	Destilación, rectificación y mezcla de bebidas alcohólicas
C	Industrias manufactureras	11	ELABORACIÓN DE BEBIDAS.	1102	Elaboración de vinos
C	Industrias manufactureras	11	ELABORACIÓN DE BEBIDAS.	1103	Elaboración de bebidas malteadas y de malta
C	Industrias manufactureras	11	ELABORACIÓN DE BEBIDAS.	1104	Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas
C	Industrias manufactureras	12	ELABORACIÓN DE PRODUCTOS DE TABACO.	1200	Elaboración de productos de tabaco
C	Industrias manufactureras	13	FABRICACIÓN DE PRODUCTOS TEXTILES.	1311	Preparación e hilatura de fibras textiles
C	Industrias manufactureras	13	FABRICACIÓN DE PRODUCTOS TEXTILES.	1312	Tejedura de productos textiles
C	Industrias manufactureras	13	FABRICACIÓN DE PRODUCTOS TEXTILES.	1313	Acabado de productos textiles
C	Industrias manufactureras	13	FABRICACIÓN DE PRODUCTOS TEXTILES.	1391	Fabricación de tejidos de punto y ganchillo
C	Industrias manufactureras	13	FABRICACIÓN DE PRODUCTOS TEXTILES.	1392	Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir
C	Industrias manufactureras	13	FABRICACIÓN DE PRODUCTOS TEXTILES.	1393	Fabricación de tapices y alfombras
C	Industrias manufactureras	13	FABRICACIÓN DE PRODUCTOS TEXTILES.	1394	Fabricación de cuerdas, cordeles, bramantes y redes
C	Industrias manufactureras	13	FABRICACIÓN DE PRODUCTOS TEXTILES.	1399	Fabricación de otros productos textiles n.c.p.
C	Industrias manufactureras	14	FABRICACIÓN DE PRENDAS DE VESTIR.	1410	Fabricación de prendas de vestir, excepto prendas de piel
C	Industrias manufactureras	14	FABRICACIÓN DE PRENDAS DE VESTIR.	1420	Fabricación de artículos de piel
C	Industrias manufactureras	14	FABRICACIÓN DE PRENDAS DE VESTIR.	1430	Fabricación de artículos de punto y ganchillo
C	Industrias manufactureras	15	FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS.	1511	Curtido y adobo de cueros, adobo y teñido de pieles
C	Industrias manufactureras	15	FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS.	1512	Fabricación de maletas, bolsos de mano y artículos similares, y artículos de talabartería y guarnicionería
