Seccion	Gls_Seccion	Grupo	Gls_Grupo	Clase	Gls_Clase
C	Industrias manufactureras	151	Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; adobo y teñido de pieles	1512	Fabricación de maletas, bolsos de mano y artículos similares, y artículos de talabartería y guarnicionería
C	Industrias manufactureras	152	Fabricación de calzado	1520	Fabricación de calzado
C	Industrias manufactureras	161	Aserrado y acepilladura de madera	1610	Aserrado y acepilladura de madera
C	Industrias manufactureras	162	Fabricación de productos de madera, corcho, paja y materiales trenzables	1621	Fabricación de hojas de madera para enchapado y tableros a base de madera
C	Industrias manufactureras	162	Fabricación de productos de madera, corcho, paja y materiales trenzables	1622	Fabricación de partes y piezas de carpintería para edificios y construcciones
C	Industrias manufactureras	162	Fabricación de productos de madera, corcho, paja y materiales trenzables	1623	Fabricación de recipientes de madera
C	Industrias manufactureras	162	Fabricación de productos de madera, corcho, paja y materiales trenzables	1629	Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables
C	Industrias manufactureras	170	Fabricación de papel y de productos de papel	1701	Fabricación de pasta de madera, papel y cartón
C	Industrias manufactureras	170	Fabricación de papel y de productos de papel	1702	Fabricación de papel y cartón ondulado y de envases de papel y cartón
C	Industrias manufactureras	170	Fabricación de papel y de productos de papel	1709	Fabricación de otros artículos de papel y cartón
C	Industrias manufactureras	181	Impresión y actividades de servicios relacionadas con la impresión	1811	Impresión
C	Industrias manufactureras	181	Impresión y actividades de servicios relacionadas con la impresión	1812	Actividades de servicios relacionadas con la impresión
C	Industrias manufactureras	182	Reproducción de grabaciones	1820	Reproducción de grabaciones
C	Industrias manufactureras	191	Fabricación de productos de hornos de coque	1910	Fabricación de productos de hornos de coque
C	Industrias manufactureras	192	Fabricación de productos de la refinación del petróleo	1920	Fabricación de productos de la refinación del petróleo
C	Industrias manufactureras	201	Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias	2011	Fabricación de sustancias químicas básicas
C	Industrias manufactureras	201	Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias	2012	Fabricación de abonos y compuestos de nitrógeno
